type	oid	size	path	probe_path	lfs	xetHash
file	4d4335411ca1bc088de4d84c7c9782c8e71e38bb	10788867496	features/rnaseq/UCE/4layer/round_2.h5ad	features/rnaseq/UCE/4layer	{'oid': 'f8c005741a61d34d53dce67e7df936f3c9635a8899b95b392981e060f6dc59e7', 'size': 10788867496, 'pointerSize': 136}	1c99eca10b5a6972056a66da504895e1ef8af57de30bb0f052763d89adf2edfe
file	0c98f6dcc13db1142e6d383bcd4e8b34fba709f6	15593619472	features/rnaseq/geneformer/round_1.h5ad	features/rnaseq/geneformer	{'oid': '4afd624c74e084fcb94d67081d3ce4dca4344784d70f9c1b49aa949132be5c86', 'size': 15593619472, 'pointerSize': 136}	e5056aea14decc335c55534016913a05de35a8e067679ed1f76eb7371affc174
file	ec301eeb9edf6f4d033f05237d81f4d7784d0e35	9195433072	features/rnaseq/geneformer/round_2.h5ad	features/rnaseq/geneformer	{'oid': '922cc24a9326db02af16e541c54fe946f2b5cdd2f1bf0a4dff0547643290d7a9', 'size': 9195433072, 'pointerSize': 135}	e65d34ac768488dd150865a529d050bfda22a0526a2b6fb60abf09a57cc9fead
file	386665a2e7a3d953dfbbc5f78a1e12468bca567c	16904806844	features/rnaseq/scgpt/round_1.h5ad	features/rnaseq/scgpt	{'oid': 'addd0a7b40cc826e9950edef3befd828e42d15de96d7cb419b34e973356b4a70', 'size': 16904806844, 'pointerSize': 136}	c142f2a1c23b0fe89f9afd9fb3ce6914cd2fc8dd64da11c0e589dc3d5ed0f3e5
file	3d499e94901d2ce466e9746526d2ead30a47b2a7	10408144396	features/rnaseq/scgpt/round_2.h5ad	features/rnaseq/scgpt	{'oid': '4d274e3445d6a0ec6de613a3c3514fb35ba572cff0dc4c1ca895b9ba33f57876', 'size': 10408144396, 'pointerSize': 136}	1c8118cc27cdefffd019c7eb24b2432c7bf1cffd3521c6888ecd4eb375f35aa2
directory	559cd3fb8e3d03d7a9874d7e415d5a2319bf39d6	0	features/imaging/imagenet	features/imaging		
directory	10a14768dd70651a276129518f8ca1dbf4f7eac1	0	features/imaging/imagenet/resnet152	features/imaging/imagenet		
directory	0b14cb03028c322862d057457c98d9359291767f	0	features/imaging/imagenet/resnet50	features/imaging/imagenet		
directory	7544725bf385f879f6225d40b67fdb24610ffd55	0	features/imaging/imagenet/vit-h	features/imaging/imagenet		
directory	3a9c6e6520c1a883c03f5023c823fca4daafd55b	0	features/imaging/imagenet/vit-l	features/imaging/imagenet		
file	ccefd2602135683128ec27181dffaf8582826170	36909661416	features/imaging/imagenet/resnet50/round_1.h5ad	features/imaging/imagenet/resnet50	{'oid': '67e695c3932fdda335f1c244603446c777112801cc12f6f91fe2572678c03bac', 'size': 36909661416, 'pointerSize': 136}	ef9a6991a680909e2fab652da16a729d9877252987bf6cad5fee36d76de83cc6
file	94a79fdeffa8394a53542e758177b832463ca454	21979889495	features/imaging/imagenet/resnet50/round_2.h5ad	features/imaging/imagenet/resnet50	{'oid': 'd12e63a9ed4df6614289666a6c9bd56c901033a065703d3f16bb8d78853cc808', 'size': 21979889495, 'pointerSize': 136}	a88b2dcd69dc4c55ad77adb3ed83ff4eb60d5edbcee4036441fbbe2f60a0d7ab
file	2a322a2a9b968c15501efad538f4053ccc10ffe4	36909661416	features/imaging/imagenet/resnet152/round_1.h5ad	features/imaging/imagenet/resnet152	{'oid': '0def714b07ef65ad2632b5e27a41daf06ede49654c20c604a04270511d0175b3', 'size': 36909661416, 'pointerSize': 136}	d67689e17deea42a47fd9098a58d53843036be2119920de5d2fc79b249aec8c2
file	d54b317b68d81cbe8e8369b85bec8187d137c8b0	21979889495	features/imaging/imagenet/resnet152/round_2.h5ad	features/imaging/imagenet/resnet152	{'oid': '5b965943fb6827233f9b0a085787c701d0aa64375078f7704e40958271493e47', 'size': 21979889495, 'pointerSize': 136}	76d7dc12f47a0528b93f43b68dce1485bb90221f6ff82ce794d8a95288bdf110
file	fde6975ac45d7576c0cb29c94233c0711eaf62b2	18506448104	features/imaging/imagenet/vit-l/round_1.h5ad	features/imaging/imagenet/vit-l	{'oid': 'a0c97038f59e7324fa7985fb6009d828fd6d82bf045b55252a407ccf9634e938', 'size': 18506448104, 'pointerSize': 136}	ceead9256aaec09cdab0f04baaa8f50d6233f9bc042c7fbb533900b220d8bf25
file	6d26a41c9000ebe5e3a1e39a1bd1b2bc01a7c65c	11023900503	features/imaging/imagenet/vit-l/round_2.h5ad	features/imaging/imagenet/vit-l	{'oid': '981e24858a28388ab2a97f5440ef5c6677c8141681d80bf7b20354f859967d68', 'size': 11023900503, 'pointerSize': 136}	36f77c6e8e5970e4023efa0e1ea17710153cacffbfb75d3770a20dc6a926b10d
file	22ab95a44ff9adf322296b752e891d958398ae93	23107251432	features/imaging/imagenet/vit-h/round_1.h5ad	features/imaging/imagenet/vit-h	{'oid': '4e4c854e1fcc1f2839b9c5a1ea442ae82f00af63c466d93544222c3e51d85316', 'size': 23107251432, 'pointerSize': 136}	066147499a45823c60f3a5867d2e2aa116f6c3f479b924b70dee3cc819004774
file	a90123fe7cd4102387c2330325a2b70f72716a00	13762897751	features/imaging/imagenet/vit-h/round_2.h5ad	features/imaging/imagenet/vit-h	{'oid': '811b8917963846915c8ce5b488ec4a4a0e9bb3692b1a3670ed9b72bbc39f731f', 'size': 13762897751, 'pointerSize': 136}	1c413798174080e94183412a6792e41cf31540d11c72cd63e3c31649cf256760
directory	158c3c89e072b7f77790852abcbdf291d2414d4e	0	measured/imaging	measured		
directory	d4ef6e40b44ca5301ae2067a176c7025ec5b20f7	0	measured/rnaseq	measured		
file	e47e2654b48573f83d689864b729fdadac20a4eb	48101886092	measured/rnaseq/round_1.h5ad	measured/rnaseq	{'oid': 'd4a1d7c7b475507cc1030eac399b5257041240ce1ebd6caa4656b71e5f467b06', 'size': 48101886092, 'pointerSize': 136}	e8b144abdd1c8f09e7fd5ded47dbc32f73061b90e0dda0d64203a03770b16073
file	3a2b994aa1bf6436f970e85bd6f066e463077bfb	29797702796	measured/rnaseq/round_2.h5ad	measured/rnaseq	{'oid': 'eebd80cee64de613ab954e9d0ed19d98f9d07e0853744e075bdbc74a2a2d831e', 'size': 29797702796, 'pointerSize': 136}	d0a41a57e9ea57ab4ff5f5d4b8685277fdc9d8716dbf71e4caaa8f798bc15bca
directory	4b4d640885b2037779df685afca96ceed32418d3	0	measured/imaging/uint8	measured/imaging		
file	e588971912a9ad53e88cfb50b7cfc6c4b8c8a03e	2046741347	measured/imaging/round_1.h5	measured/imaging	{'oid': 'a22979d609186ab2f06464690c0e002980b2c4ecb395fa34f23d44f6d81a6582', 'size': 2046741347, 'pointerSize': 135}	619e3d5c81de6978f85775a132596980d5ca6ee34a0661cf8a31458a396af277
file	f88e26a09da2ae89ee8c0c782bf6d883e2b0ceb7	1419408564	measured/imaging/round_2.h5	measured/imaging	{'oid': 'fd82ab1ceb6c44ed681aa8b48cd1d783930487586d9d64b8b9d1d7943b2c0a24', 'size': 1419408564, 'pointerSize': 135}	b6871c69b41752db5bf880955d50eabac6e002074f7fc4e43af165055fffdb24
directory	83432f5a90c5356cfcc9a8895a5e13cc15561412	0	measured/imaging/uint8/round_1	measured/imaging/uint8		
directory	c8fe707615e8c73ac79a31e55d48e14c460d776c	0	measured/imaging/uint8/round_2	measured/imaging/uint8		
