round	rna_path	rna_size_bytes	image_path	image_size_bytes	paired_size_bytes
round_1	features/rnaseq/scvi/scvi_1/round_1.h5ad	16478887380	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	34985335484
round_1	features/rnaseq/scvi/scvi_2/round_1.h5ad	16478887380	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	34985335484
round_1	features/rnaseq/scgpt/round_1.h5ad	16904806844	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	35411254948
round_1	features/rnaseq/UCE/4layer/round_1.h5ad	18663899464	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	37170347568
round_2	features/rnaseq/pca/n2000/round_2.h5ad	26608721472	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	37632621975
round_1	features/rnaseq/geneformer/round_1.h5ad	15593619472	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	38700870904
round_1	features/rnaseq/scvi/scvi_1/round_1.h5ad	16478887380	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	39586138812
round_1	features/rnaseq/scvi/scvi_2/round_1.h5ad	16478887380	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	39586138812
round_1	features/rnaseq/scgpt/round_1.h5ad	16904806844	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	40012058276
round_2	features/rnaseq/pca/n2000/round_2.h5ad	26608721472	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	40371619223
round_1	features/rnaseq/scvi/n200/round_1.h5ad	4366952116	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	41276613532
round_1	features/rnaseq/scvi/n200/round_1.h5ad	4366952116	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	41276613532
round_1	features/rnaseq/UCE/4layer/round_1.h5ad	18663899464	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	41771150896
round_2	features/rnaseq/pca/n2000/round_2.h5ad	26608721472	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	48588610967
round_2	features/rnaseq/pca/n2000/round_2.h5ad	26608721472	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	48588610967
round_1	features/rnaseq/geneformer/round_1.h5ad	15593619472	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	52503280888
round_1	features/rnaseq/geneformer/round_1.h5ad	15593619472	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	52503280888
round_1	features/rnaseq/scvi/scvi_1/round_1.h5ad	16478887380	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	53388548796
round_1	features/rnaseq/scvi/scvi_1/round_1.h5ad	16478887380	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	53388548796
round_1	features/rnaseq/scvi/scvi_2/round_1.h5ad	16478887380	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	53388548796
round_1	features/rnaseq/scvi/scvi_2/round_1.h5ad	16478887380	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	53388548796
round_1	features/rnaseq/scgpt/round_1.h5ad	16904806844	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	53814468260
round_1	features/rnaseq/scgpt/round_1.h5ad	16904806844	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	53814468260
round_1	features/rnaseq/UCE/4layer/round_1.h5ad	18663899464	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	55573560880
round_1	features/rnaseq/UCE/4layer/round_1.h5ad	18663899464	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	55573560880
round_1	features/rnaseq/pca/n2000/round_1.h5ad	43347445080	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	61853893184
round_1	features/rnaseq/pca/n2000/round_1.h5ad	43347445080	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	66454696512
round_1	features/rnaseq/pca/n2000/round_1.h5ad	43347445080	features/imaging/imagenet/resnet152/round_1.h5ad	36909661416	80257106496
round_1	features/rnaseq/pca/n2000/round_1.h5ad	43347445080	features/imaging/imagenet/resnet50/round_1.h5ad	36909661416	80257106496
