round	replicate	split	treatment	is_control	n_rna	n_image	condition_key
1	5	validation	Aloxistatin / E-64d	False	4329	5837	1::5::Aloxistatin / E-64d
1	5	validation	Benzbromarone	False	4058	5399	1::5::Benzbromarone
1	5	validation	CGK-733	False	3745	3883	1::5::CGK-733
1	5	validation	Caffeine	False	4044	4954	1::5::Caffeine
1	5	validation	Colchicine	False	5421	3845	1::5::Colchicine
1	5	validation	Cycloheximide	False	5457	5556	1::5::Cycloheximide
1	5	validation	DBeQ	False	3833	4886	1::5::DBeQ
1	5	validation	DMSO	True	16778	20433	1::5::DMSO
1	5	validation	Daporinad / FK-866	False	4615	5900	1::5::Daporinad / FK-866
1	5	validation	Fluocinonide	False	4474	5589	1::5::Fluocinonide
1	5	validation	GW-843682X	False	4382	4816	1::5::GW-843682X
1	5	validation	HARMAN	False	4395	3939	1::5::HARMAN
1	5	validation	LY303511 (hydrochloride)	False	2913	4445	1::5::LY303511 (hydrochloride)
1	5	validation	PD-98059	False	4874	4141	1::5::PD-98059
1	5	validation	PQ401	False	4568	5550	1::5::PQ401
1	5	validation	Pantoprazole	False	2642	4966	1::5::Pantoprazole
1	5	validation	Phenacetin	False	4857	4394	1::5::Phenacetin
1	5	validation	Quinidine	False	5084	4360	1::5::Quinidine
1	5	validation	SKII	False	3241	6777	1::5::SKII
1	5	validation	Simvastatin	False	4731	5459	1::5::Simvastatin
1	5	validation	Splitomicin	False	4759	6054	1::5::Splitomicin
1	5	validation	Thapsigargin	False	4721	3661	1::5::Thapsigargin
1	5	validation	Vorinostat / SAHA	False	3771	5070	1::5::Vorinostat / SAHA
1	5	validation	Wy 14643 / Pirinixic Acid	False	3825	5439	1::5::Wy 14643 / Pirinixic Acid
